X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.384861056038957,34.054817966732422,151865554,211,,Social Services,Food Assistance,,www.jfsla.org/sova,Sova Food Pantry And Resource Center - West,8846 W. Pico Blvd.,,Los Angeles,CA,,"Service/Intake and Administration (818) 988-7682,  Service/Intake (818) 988-7682",,www.jfsla.org/sova,,,56576,"The administrative office provides information on Sova emergency food programs in West Hollywood, West Los Angeles, and Van Nuys.",90035,http://egis3.lacounty.gov/lms/?p=56576,publish,34.054818,-118.384861,2013-06-01T11:50:56.000Z,,6445095.12970246,1842552.88833348
-118.488089055960742,34.01387596646456,151865575,211,,Social Services,Food Assistance,,www.opcc.org,Ocean Park Community Center - Access Center,503 Olympic Blvd.,,Santa Monica,CA,"Monday, Wednesday, Thursday, and Friday, 9:00am to 5:00pm; Tuesday, 1:00pm to 5:00pm; and Saturday, 9:00am to 11:00am. ","Volunteer Coordinator Administrative (310) 450-4050 Ext.131, Shelter Referral Service/Intake (310) 450-4050",,www.opcc.org,,,56594,"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas.",90401,http://egis3.lacounty.gov/lms/?p=56594,publish,34.013876,-118.488089,2013-06-01T11:50:56.000Z,,6413755.02473189,1827789.23347764
-118.600859055627481,34.197261966357019,151865659,211,,Social Services,Food Assistance,,NULL,Catholic Charities Of Los Angeles - Guadalupe Community Center,21600 Hart St.,,Canoga Park,CA,"Monday through Friday, 9:00am to 8:30pm. ","Service/Intake and Administration (818) 340-2050, Older Adults services Service/Intake (818) 340-5100",,,,,56642,"The agency is a community center which provides adult education, early childhood education, emergency food (through its Loaves and Fishes IV program), employment services for refugees, holiday assistance, youth recreation programs and senior programs for people in a specific area of the San Fernando Valley.",91303,http://egis3.lacounty.gov/lms/?p=56642,publish,34.197262,-118.600859,2013-06-01T11:50:56.000Z,,6379979.39182398,1894710.77384689
-118.202730056385164,33.784142967628107,151865799,211,,Social Services,Food Assistance,,www.foodbankofsocal.org,"Foodbank Of Southern California, The",1444 San Francisco Ave.,,Long Beach,CA,"Monday through Friday, 7:00am to 3:30pm. ","Service/Intake and Administration (562) 435-3577,  FAX (562) 437-6168",,www.foodbankofsocal.org,,,56796,The agency operates a food bank which distributes donated food to member charities who are in Southern California.,90813,http://egis3.lacounty.gov/lms/?p=56796,publish,33.784143,-118.20273,2013-06-01T11:50:56.000Z,,6500064.21398981,1743886.96591505
-118.242004056778299,34.007941966565433,151865800,211,,Social Services,Food Assistance,,www.lafoodbank.org,Los Angeles Regional Food Bank,1734 E. 41st St.,,Los Angeles,CA,,"Administrative (323) 234-3030, Agency participation Service/Intake (323) 234-3030 Ext.121, Volunteer Coordinator Service/Intake (323) 234-3030 Ext.144, Donations Service/Intake (323) 234-3030 Ext.130, Agency Participation Service/Intake (323) 234-3030 Ext",,www.lafoodbank.org,,,56797,The agency operates a food bank which distributes surplus food to member charities who are in Los Angeles County.,90058,http://egis3.lacounty.gov/lms/?p=56797,publish,34.007942,-118.242004,2013-06-01T11:50:56.000Z,,6488325.63379247,1825358.90303648
-118.473572055471678,34.025976966879803,151865801,211,,Social Services,Food Assistance,,www.westsidefoodbankca.org,Westside Food Bank,1710 22nd St.,,Santa Monica,CA,"Monday through Friday, 7:00am to 5:00pm. ","FAX (310) 828-2646,  Service/Intake (310) 828-6016",,www.westsidefoodbankca.org,,,56798,"The agency operates a food bank which provides food, educational programs regarding hunger and technical assistance to agencies in Beverly Hills, Culver City, Inglewood, Santa Monica, Venice, West Hollywood and West Los Angeles.",90404,http://egis3.lacounty.gov/lms/?p=56798,publish,34.025977,-118.473572,2013-06-01T11:50:56.000Z,,6418175.11431688,1832171.93698256
-118.240666456840557,34.046685697019811,151865812,211,,Social Services,Food Assistance,,NULL,Union Church - Dining Center,455 E 3Rd St,,Los Angeles,CA,"Monday through Friday, 9:00am to 1:30pm.  The congregate meal is served at 11:30am. ",Service/Intake (213) 620-9717,,,,,56809,"The agency provides a senior nutrition and supportive services for seniors age 60 and older who live in the Little Tokyo area and the Boyle Heights area of Los Angeles, 90012, 90013, 90033, and 90063.",90013,http://egis3.lacounty.gov/lms/?p=56809,publish,34.04668573,-118.2406664,2013-06-01T11:50:56.000Z,,6488764.78022389,1839457.50476047
-118.241922556222619,34.047870026636566,151865814,211,,Social Services,Food Assistance,,NULL,Koreisha Chushoku Kai,244 S San Pedro St,,Los Angeles,CA,,Service/Intake and Administration (213) 680-9173,,,,,56810,"The agency provides a senior nutrition and supportive services for seniors age 60 and older who live in the Little Tokyo area and the Boyle Heights area of Los Angeles, 90012, 90013, 90033, and 90063.",90012,http://egis3.lacounty.gov/lms/?p=56810,publish,34.04787006,-118.2419225,2013-06-01T11:50:56.000Z,,6488385.30558914,1839889.41761056
-118.478322055915868,33.998085966856785,151865825,211,,Social Services,Food Assistance,,www.stjosephctr.org,St. Joseph Center,204 Hampton Dr.,,Venice,CA,"Monday through Friday, 9:00am to 5:00pm. ","Homeless Service Center Information Only (310) 399-6878, MAP Program Service/Intake (310) 396-6556,  Service/Intake and Administration (310) 396-6468,  FAX (310) 392-8402, Culinary Training Service/Intake (310) 450-9095,  Service/Intake (310) 396-6468 Ext",,www.stjosephctr.org,,,56820,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56820,publish,33.998086,-118.478322,2013-06-01T11:50:56.000Z,,6416687.5460978,1822028.76730831
-118.470511055916816,34.000121966508424,151865826,211,,Social Services,Food Assistance,,www.stjosephctr.org,St. Joseph Center - Bread And Roses Cafe,663 Rose Ave.,,Venice,CA,"Monday through Friday, 9:00am to 12:30pm. ",Homeless Program Service/Intake (310) 399-6878,,www.stjosephctr.org,,,56821,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56821,publish,34.000122,-118.470511,2013-06-01T11:50:56.000Z,,6419058.56629014,1822758.52700365
-118.466430056198249,34.000822966702408,151865829,211,,Social Services,Food Assistance,,www.stjosephctr.org,St. Joseph Center - Homeless Service Center,404 S. Lincoln Blvd.,,Venice,CA,,Homeless Program Service/Intake (310) 399-6878,,www.stjosephctr.org,,,56823,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56823,publish,34.000823,-118.46643,2013-06-01T11:50:56.000Z,,6420296.69111048,1823007.8677123
-118.291581055930195,33.736157967183928,151865904,211,,Social Services,Food Assistance,,www.harborinterfaith.org,Harbor Interfaith Services Inc,670 W. 9th St.,,San Pedro,CA,,"Family Shelter Service/Intake (310) 831-0589, Family Resource Center: Benefits Advocacy, Food, Holiday Assistance Service/Intake (310) 831-9123, Transportation. Housing, Job services Service/Intake (310) 831-5729,  Administrative (310) 831-0603",,www.harborinterfaith.org,,,56893,"The agency provides advocacy services, emergency food, employment services, information and referral and shelter for people who live in the South Bay area.",90731,http://egis3.lacounty.gov/lms/?p=56893,publish,33.736158,-118.291581,2013-06-01T11:50:56.000Z,,6473013.3488003,1726490.2815484
-118.278015056151986,34.04081596679174,151865970,211,,Social Services,Food Assistance,,www.worldharvestfoodbank.org,World Harvest Food Bank,1014 W. Venice Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm; Saturday, 8:00am to 3:00pm. ","Service/Intake and Administration (213) 746-2227,  FAX (213) 746-2229",,www.worldharvestfoodbank.org,,,56929,"The agency provides advocacy, emergency food and holiday assistance to people who live in Los Angeles County.",90015,http://egis3.lacounty.gov/lms/?p=56929,publish,34.040816,-118.278015,2013-06-01T11:50:56.000Z,,6477444.81401873,1837350.59361997
-118.494661056259986,34.011040967003481,151865973,211,,Social Services,Food Assistance,,www.opcc.net,Daybreak Center,1614 Ocean Ave.,,Santa Monica,CA,,"Service/Intake (310) 393-4344, Volunteer Coordinator Service/Intake (310) 393-6045",,www.opcc.net,,,56930,"The agency provides advocacy, emergency food, holiday assistance, homeless support services, mental health services for mentally ill women, shelter and volunteer opportunities primarily in West Los Angeles and Santa Monica area.",90401,http://egis3.lacounty.gov/lms/?p=56930,publish,34.011041,-118.494661,2013-06-01T11:50:56.000Z,,6411758.31973581,1826767.26832998
-117.983899456971443,34.056878206868895,151865977,211,,Social Services,Food Assistance,,NULL,YMCA Family Resource Center - Apec,751 Vineland Ave,,La Puente,CA,"Monday through Friday, 10:00am to 4:00pm. ",Helen Cullen Service/Intake (626) 931-2759,,,,,56932,"The agency provides advocacy, emergency food, holiday assistance and personal goods for low-income people who live in Bassett, Hacienda Heights, La Puente, Valinda and Walnut.",91746,http://egis3.lacounty.gov/lms/?p=56932,publish,34.05687824,-117.9838994,2013-06-01T11:50:56.000Z,,6566547.12564313,1843079.87349997
-118.148649056274493,34.138748967139463,151866020,211,,Social Services,Food Assistance,,www.unionstationhs.org,Union Station - Adult Center,412 Raymond Ave.,,Pasadena,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (626) 240-4550,,www.unionstationhs.org,,,56960,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91105,http://egis3.lacounty.gov/lms/?p=56960,publish,34.138749,-118.148649,2013-06-01T11:50:56.000Z,,6516689.31164506,1872907.04875365
-118.081005456040842,33.941401757260429,151866122,211,,Social Services,Food Assistance,,www.sassfa.org,Southeast Area Social Services Funding Authority,10400 Pioneer Blvd,,Santa Fe Springs,CA,,"TDD (562) 906-5807, Main Number for All Services Service/Intake and Administration (562) 946-2237, Glenna Amos Service/Intake and Administration (562) 946-2337 Ext.264,  FAX (562) 946-5818, Cecilia Rodriguez - Business Services Rep Service/Intake and Admi",,www.sassfa.org,,,57040,"The agency provides business services, services for older adults, and WIA programs for adults and dislocated workers in Los Angeles County.",90670,http://egis3.lacounty.gov/lms/?p=57040,publish,33.94140179,-118.0810054,2013-06-01T11:50:56.000Z,,6537100.30658413,1801065.12386823
-118.469299056468572,34.232021966013306,151866275,211,,Social Services,Food Assistance,,www.nvcsinc.org,North Valley Caring Services Inc,15453 Rayen St.,,North Hills,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake (818) 891-0481,  FAX (818) 830-2007",,www.nvcsinc.org,,,57148,"The agency provides education services, emergency food, holiday assistance, homeless support services and recreational programs for people who live in North Hills.",91343,http://egis3.lacounty.gov/lms/?p=57148,publish,34.232022,-118.469299,2013-06-01T11:50:56.000Z,,6419819.93254955,1907148.66006032
-118.244858056858192,34.043113967057437,151866323,211,,Social Services,Food Assistance,,www.urm.org,Union Rescue Mission,545 S. San Pedro St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Administration (213) 347-6300, Volunteer Opportunities Service/Intake (213) 347-6300 Ext.1149, Other donations Service/Intake (213) 347-6300 Ext.1023,  FAX (213) 612-0260, Vehicle donations Service/Intake (800) 833-0078",,www.urm.org,,,57174,The agency provides Christian-oriented social services for people of all ages in the Skid Row area of downtown Los Angeles.,90013,http://egis3.lacounty.gov/lms/?p=57174,publish,34.043114,-118.244858,2013-06-01T11:50:56.000Z,,6487491.84674613,1838160.75276081
-118.096426056911341,34.571994966457687,151866326,211,,Social Services,Food Assistance,,NULL,Palmdale 7Th Day Adventist Church Community Services,1758 E. Avenue R,,Palmdale,CA,,Service/Intake and Administration (661) 947-8496,,,,,57176,"The agency provides clothing and emergency food for people who live in Palmdale, including people who are homeless or who are undocumented.",93550,http://egis3.lacounty.gov/lms/?p=57176,publish,34.571995,-118.096426,2013-06-01T11:50:56.000Z,,6532643.16687639,2030554.63240798
-118.028569056954453,34.143962967185089,151866331,211,,Social Services,Food Assistance,,NULL,Arcadia Welfare And Thrift Shop,323 N. First St.,,Arcadia,CA,"Monday through Friday, 9:00am to 4:30pm ","Thrift Shop Service/Intake (626) 447-2881,  Service/Intake (626) 447-6864",,,,,57177,"The agency provides emergency food, financial assistance, household goods, motel vouchers, personal goods and thrift shops for people in Arcadia, including people who are homeless.",91006,http://egis3.lacounty.gov/lms/?p=57177,publish,34.143963,-118.028569,2013-06-01T11:50:56.000Z,,6553025.91679323,1874772.48924848
-118.243105056848933,34.043511967029886,151866338,211,,Social Services,Food Assistance,,NULL,Emmanuel Baptist Rescue Mission,530 E. Fifth St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (213) 626-4681,,NULL,,,57178,"The agency provides emergency food, holiday assistance and shelter for homeless men in the Skid Row area of downtown Los Angeles.",90013,http://egis3.lacounty.gov/lms/?p=57178,publish,34.043512,-118.243105,2013-06-01T11:50:56.000Z,,6488023.25841297,1838304.30332673
-118.345106055855879,33.894522967204814,151866343,211,,Social Services,Food Assistance,,www.hoy-southbay.org,House Of Yahweh,4046 W. Marine Ave.,,Lawndale,CA,"Monday through Saturday, 9:00am to 3:30pm. ","Thrift Shop Service/Intake (310) 644-9301,  Administrative (310) 675-1384, Shelter or Food Intake Service/Intake (310) 675-6412",,,,,57180,"The agency provides emergency food, homeless support services, personal goods, shelter and thrift shops for individuals and families who are in crisis and who live in the South Bay and Southwest areas of Los Angeles County.",90260,http://egis3.lacounty.gov/lms/?p=57180,publish,33.894523,-118.345106,2013-06-01T11:50:56.000Z,,6456936.67393272,1784174.7508249
-118.309287055729371,34.048642966647023,151866363,211,,Social Services,Food Assistance,,www.pcs-socal.org,People Coordinated Services Of Southern California Inc,1221 S. Western Ave.,,Los Angeles,CA,,Virgie Walker Service/Intake and Administration (323) 735-1231,,www.pcs-socal.org,,,57201,"The agency provides congregate meals, home delivered meals, residential treatment for substance abuse, school readiness, substance abuse services and services for older adults who live in Los Angeles County.",90006,http://egis3.lacounty.gov/lms/?p=57201,publish,34.048643,-118.309287,2013-06-01T11:50:56.000Z,,6467979.65643989,1840226.65545315
-118.079275056572243,33.887789966927087,151866419,211,,Social Services,Food Assistance,,ci.norwalk.ca.us/,City Of Norwalk Social Services Department,11929 Alondra Blvd.,,Norwalk,CA,,"Meals on Wheels/General Services Service/Intake (323) 582-6090,  Service/Intake (562) 929-5544,  FAX (562) 929-5515",,ci.norwalk.ca.us/,,,57247,"The agency provides counseling services, emergency food, financial assistance, health services, legal services and nutrition programs for people who live in Norwalk.",90650,http://egis3.lacounty.gov/lms/?p=57247,publish,33.88779,-118.079275,2013-06-01T11:50:56.000Z,,6537609.77341297,1781554.15271965
-118.309008055948496,33.73687596714052,151866431,211,,Social Services,Food Assistance,,sanpedrosouthbay.assistanceleague.org,Assistance League Of San Pedro - South Bay,1441 W. Eighth St.,,San Pedro,CA,"Monday through Friday, 8:00am to 5:00pm. ","Administrative (310) 832-8355,  FAX (310) 832-8460, Dental Appointments Service/Intake (310) 832-5295",,,,,57259,"The agency provides dental services, information and referral and personal goods for people who live in the South Bay area.",90732,http://egis3.lacounty.gov/lms/?p=57259,publish,33.736876,-118.309008,2013-06-01T11:50:56.000Z,,6467715.38236214,1726767.41222773
-118.163886056781251,33.989225966759946,151866433,211,,Social Services,Food Assistance,,www.childrensnetworkinternational.org,Children's Network International,5600 Rickenbacker Rd.,,Bell,CA,"Monday through Friday, 7:00am to 3:30pm. ","(888) 818-GIVE Service/Intake and Hotline (888) 818-4483, 877) CNI-2AID Service/Intake and Hotline (877) 264-2243,  FAX (323) 980-9878,  Service/Intake and Administration (323) 980-9870",,www.childrensnetworkinternational.org,,,57260,The agency provides disaster services and a food bank for organizations throughout the United States and internationally.,90201,http://egis3.lacounty.gov/lms/?p=57260,publish,33.989226,-118.163886,2013-06-01T11:50:56.000Z,,6511989.90076831,1818499.97548139
-118.356125056678849,34.090663967155493,151866571,211,,Social Services,Food Assistance,,NULL,Chabad Russian Synagogue And Jewish Community Center,7636 Santa Monica Blvd.,,Los Angeles,CA,,"FAX (323) 848-9703, Children's Fund - Car Donation Service/Intake (800) 572-5433,  Service/Intake (323) 848-2999, Children's Fund - Car Donation Service/Intake (800) 462-4274",,,,,57350,The agency provides donor services and holiday assistance that are targeted to the Russian Jewish population of West Los Angeles.,90046,http://egis3.lacounty.gov/lms/?p=57350,publish,34.090664,-118.356125,2013-06-01T11:50:56.000Z,,6453845.50294971,1855565.76913181
-118.215931056004067,34.049230966662385,151866627,211,,Social Services,Food Assistance,,NULL,Operation Youth Educational Services - White Memorial Sda Church,401 N. State St., ,Los Angeles,CA,,Service/Intake (323) 253-6937,,,,,57399,The agency provides education services for low-income youth and emergency food for low-income and homeless people who live in the County of Los Angeles.,90033,http://egis3.lacounty.gov/lms/?p=57399,publish,34.049231,-118.215931,2013-06-01T11:50:56.000Z,,6496259.90171656,1840366.75753514
-118.137311057694689,34.702936995994015,151866636,211,,Social Services,Food Assistance,,www.graceresources.org,Grace Resources Inc,45134 Sierra Hwy,,Lancaster,CA,"Monday through Friday, 9:00am to 5:00pm. ","FAX (661) 940-5274,  Service/Intake (661) 940-5272",,www.graceresources.org,,,57403,"The agency provides education services, emergency food, holiday assistance, personal goods and a thrift shop for people who live in the Antelope Valley, including people who are homeless and undocumented.",93534,http://egis3.lacounty.gov/lms/?p=57403,publish,34.70293703,-118.137311,2013-06-01T11:50:56.000Z,,6520400.64214888,2078222.39632423
-118.105538556840003,34.574708726545445,151866638,211,,Social Services,Food Assistance,,www.graceresources.org,Grace Resources Inc - Desert Wind Church,38117 13Th St E,,Palmdale,CA,,Service/Intake (661) 266-3400,,www.graceresources.org,,,57404,"The agency provides education services, emergency food, holiday assistance, personal goods and a thrift shop for people who live in the Antelope Valley, including people who are homeless and undocumented.",93550,http://egis3.lacounty.gov/lms/?p=57404,publish,34.57470876,-118.1055385,2013-06-01T11:50:56.000Z,,6529901.0657333,2031544.99361622
-118.445804056500521,34.305451966104293,151866639,211,,Social Services,Food Assistance,,www.mendpoverty.org,Meet Each Need With Dignity - St. Didacus Church Parish Center,14339 Astoria St.,,Sylmar,CA,"Every other Saturday, 12:00 noon to 3:00pm. Sylmar residents only. ",Service/Intake (818) 367-6181,,www.mendpoverty.org,,,57405,"The agency provides education services, emergency food, employment services, health services, holiday assistance, household goods, and personal goods for low-income people who live in the northeast part of the San Fernando Valley.",91342,http://egis3.lacounty.gov/lms/?p=57405,publish,34.305452,-118.445804,2013-06-01T11:50:56.000Z,,6427040.00308314,1933838.58994806
-118.468566056550117,34.23540196613903,151866640,211,,Social Services,Food Assistance,,www.mendpoverty.org,Meet Each Need With Dignity - Our Lady Of Peace Catholic Church,15444 Nordhoff,,North Hills,CA,,Service/Intake (818) 894-1176,,www.mendpoverty.org,,,57406,"The agency provides education services, emergency food, employment services, health services, holiday assistance, household goods, and personal goods for low-income people who live in the northeast part of the San Fernando Valley.",91343,http://egis3.lacounty.gov/lms/?p=57406,publish,34.235402,-118.468566,2013-06-01T11:50:56.000Z,,6420047.22146505,1908377.65628998
-118.135773056862249,34.153919966793524,151866643,211,,Social Services,Food Assistance,,www.lakeavefoundation.org,Lake Avenue Community Foundation,712 E. Villa St.,,Pasadena,CA,"Monday through Friday, 9:00am to 2:00pm. ","Administrative (626) 449-4960, Eric Johnson - STARS Program Middle School and High School Service/Intake (626) 817-4535, STARS Program Elementary School Service/Intake (626) 817-4593",,www.lakeavefoundation.org,,,57408,"The agency provides education services, emergency food and health education for individuals and families.",91101,http://egis3.lacounty.gov/lms/?p=57408,publish,34.15392,-118.135773,2013-06-01T11:50:56.000Z,,6520593.02890322,1878422.53575414
-118.140158056724118,34.153872966408997,151866646,211,,Social Services,Food Assistance,,www.lakeavefoundation.org,Lake Avenue Community Foundation - Villa 500 Community Outreach,500 E. Villa St.,,Pasadena,CA,"Monday through Thursday, 3:30pm to 6:30pm. ",Mayra Nolan - STARS Program Service/Intake (626) 817-4592,,www.lakeavefoundation.org,,,57409,"The agency provides education services, emergency food and health education for individuals and families.",91101,http://egis3.lacounty.gov/lms/?p=57409,publish,34.153873,-118.140158,2013-06-01T11:50:56.000Z,,6519266.35078231,1878407.25232014
